,epsGrowth,marketCap,sentiment,peratio,recommendation
94,0.35420393559928454,90929692672.0,0.05505952380952381,,buy
95,-0.01381215469613267,91616804864.0,0.16666666666666666,,buy
96,-0.04945904173106637,89728098304.0,0.26296296296296295,,buy
97,1.01004016064257,87501955072.0,0.16666666666666666,,buy
98,0.40161861406170973,84948582400.0,0.05555555555555555,,buy
99,2.3206521739130435,144178053120.0,0.04375,,buy
100,0.33230293663060273,87918477312.0,0.0,,buy
101,0.5901875901875901,192664616960.0,0.0,,buy
102,0.5244444444444445,83247718400.0,0.13392857142857142,,buy
103,0.4645828648527096,78674444288.0,-0.01833333333333333,,buy
104,1.3103448275862069,79990587392.0,0.05,,buy
105,0.717920353982301,77905747968.0,-0.05555555555555555,,buy
106,0.8293963254593175,76396429312.0,0.11704545454545455,,buy
107,0.19060773480662968,78977556480.0,0.0,,buy
